receita,cod_ap,cod_municipio,feature_03,feature_04,feature_06,feature_07,feature_08,feature_09,feature_10,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18
474994.58999999985,4125506005002,4125506,1,21.76,31,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,100.0,86.9,100.0,100.0,91.05,90.5
504670.17999999993,4125506005002,4125506,1,21.76,31,0.168921519796663,0.16765931392066,115.95884837,2.34982124574095,100.0,86.9,100.0,100.0,91.05,90.5
52401.00666666666,5300108005004,5300108,1,22.0,27,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,100.0,86.9,100.0,100.0,91.05,90.5
52233.89333333333,5300108005004,5300108,1,22.0,27,0.215966958345941,0.19728680271075,1562.67481722,3.67088303606042,100.0,86.9,100.0,100.0,91.05,90.5
144447.5,3550308005052,3550308,1,45.66,6,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
134716.46666666665,3550308005052,3550308,1,45.66,6,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
45515.869999999995,3145604003002,3145604,0,30.0,3,0.14198829695754503,0.14367699931977,12.82402161,7.218131947452,100.0,86.9,100.0,100.0,91.05,90.5
47384.84666666668,3145604003002,3145604,0,30.0,3,0.14198829695754503,0.14367699931977,12.82402161,7.218131947452,100.0,86.9,100.0,100.0,91.05,90.5
213903.62,1600303005010,1600303,0,62.49,30,0.10761919863155,0.10308254735258698,325.53112019,1.97294435639267,100.0,88.1,100.0,100.0,88.5,93.8
173602.19666666666,1600303005010,1600303,0,62.49,30,0.10761919863155,0.10308254735258698,325.53112019,1.97294435639267,100.0,88.1,100.0,100.0,88.5,93.8
226397.31666666656,1100304003003,1100304,0,48.96,5,0.226958245458038,0.229355030992275,46.8979348,2.1786255051687897,96.9,56.6,0.0,100.0,73.2,79.0
203314.0933333333,1100304003003,1100304,0,48.96,5,0.226958245458038,0.229355030992275,46.8979348,2.1786255051687897,96.9,56.6,0.0,100.0,73.2,79.0
88881.32,1100106003001,1100106,0,39.54,3,0.226480453072209,0.234005576957112,13.92264414,2.14445016297821,100.0,87.8,100.0,100.0,69.2,86.7
81245.58666666667,1100106003001,1100106,0,39.54,3,0.226480453072209,0.234005576957112,13.92264414,2.14445016297821,100.0,87.8,100.0,100.0,69.2,86.7
130297.38666666664,2706703003002,2706703,0,51.15,9,0.243642559245008,0.23924942732137502,18.36114691,1.56069544589069,83.7,94.4,100.0,100.0,94.3,92.9
129577.42333333334,2706703003002,2706703,0,51.15,9,0.243642559245008,0.23924942732137502,18.36114691,1.56069544589069,83.7,94.4,100.0,100.0,94.3,92.9
260059.25333333333,2704302004017,2704302,0,61.0,9,0.18825544276392497,0.19117935727112195,461.35374554,3.45244941421798,100.0,89.9,100.0,100.0,86.6,93.7
284782.75666666665,2704302004017,2704302,0,61.0,9,0.18825544276392497,0.19117935727112195,461.35374554,3.45244941421798,100.0,89.9,100.0,100.0,86.6,93.7
53224.43666666667,2928109003001,2928109,0,34.1,6,0.17897016216997103,0.17111978185249302,9.46890176,2.39263069745185,100.0,86.9,100.0,100.0,91.05,90.5
55028.670000000006,2928109003001,2928109,0,34.1,6,0.17897016216997103,0.17111978185249302,9.46890176,2.39263069745185,100.0,86.9,100.0,100.0,91.05,90.5
86730.92333333334,2606002003002,2606002,0,26.85,14,0.111534127087854,0.123611767484929,54.13831965,2.1905964994267904,100.0,86.9,100.0,100.0,91.05,90.5
76669.14999999998,2606002003002,2606002,0,26.85,14,0.111534127087854,0.123611767484929,54.13831965,2.1905964994267904,100.0,86.9,100.0,100.0,91.05,90.5
114342.65666666666,2601201003003,2601201,0,36.65,6,0.11320465855609299,0.13116639622362,30.2052081,2.75387263339071,96.9,78.1,100.0,100.0,93.8,93.3
113965.68000000001,2601201003003,2601201,0,36.65,6,0.11320465855609299,0.13116639622362,30.2052081,2.75387263339071,96.9,78.1,100.0,100.0,93.8,93.3
110396.53666666667,2907509003001,2907509,0,29.4,4,0.163328238612576,0.151976709736958,18.18524169,1.79471993395431,100.0,89.2,66.7,100.0,100.0,97.1
102427.42,2907509003001,2907509,0,29.4,4,0.163328238612576,0.151976709736958,18.18524169,1.79471993395431,100.0,89.2,66.7,100.0,100.0,97.1
56076.899999999994,2922508001001,2922508,0,39.0,4,0.104162103532515,0.0878070999373564,9.45164596,3.4006665306400095,100.0,82.9,100.0,100.0,88.5,93.5
44403.57666666666,2922508001001,2922508,0,39.0,4,0.104162103532515,0.0878070999373564,9.45164596,3.4006665306400095,100.0,82.9,100.0,100.0,88.5,93.5
121750.73999999999,2909802003003,2909802,0,29.0,5,0.104162103532515,0.0878070999373564,21.61351082,1.55770518871598,100.0,84.1,100.0,100.0,71.8,87.1
116410.91666666667,2909802003003,2909802,0,29.0,5,0.104162103532515,0.0878070999373564,21.61351082,1.55770518871598,100.0,84.1,100.0,100.0,71.8,87.1
168382.96333333335,2903201003003,2903201,0,49.65,6,0.217500440586027,0.20470361254021202,51.87107068,3.2484829584584,96.9,88.4,0.0,100.0,86.6,89.2
144172.04333333333,2903201003003,2903201,0,49.65,6,0.217500440586027,0.20470361254021202,51.87107068,3.2484829584584,96.9,88.4,0.0,100.0,86.6,89.2
126089.34000000001,2904605003002,2904605,0,35.35,5,0.16781647680351097,0.15684944979229298,19.10111099,1.44393906577142,100.0,86.9,100.0,100.0,91.05,90.5
120440.47333333334,2904605003002,2904605,0,35.35,5,0.16781647680351097,0.15684944979229298,19.10111099,1.44393906577142,100.0,86.9,100.0,100.0,91.05,90.5
251962.37333333332,2910800004014,2910800,0,48.5,7,0.14705985653789902,0.13863677873888097,222.33668762,1.61935976992136,100.0,86.9,100.0,100.0,91.05,90.5
229806.66999999995,2910800004014,2910800,0,48.5,7,0.14705985653789902,0.13863677873888097,222.33668762,1.61935976992136,100.0,86.9,100.0,100.0,91.05,90.5
135665.16,2503704003003,2503704,0,47.0,9,0.16879933575036202,0.180555502115072,23.48771633,1.6278426201754799,100.0,86.9,100.0,100.0,91.05,90.5
118449.63,2503704003003,2503704,0,47.0,9,0.16879933575036202,0.180555502115072,23.48771633,1.6278426201754799,100.0,86.9,100.0,100.0,91.05,90.5
157548.59333333332,2510808003005,2510808,0,41.0,4,0.196939586945641,0.25912977693074496,48.00713988,1.8812197829072401,100.0,88.8,100.0,100.0,75.0,89.0
144695.18666666665,2510808003005,2510808,0,41.0,4,0.196939586945641,0.25912977693074496,48.00713988,1.8812197829072401,100.0,88.8,100.0,100.0,75.0,89.0
32867.2,3550308005023,3550308,1,35.98,3,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
50898.17333333334,3550308005023,3550308,1,35.98,3,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
154179.96,3510500003002,3510500,0,44.5,15,0.18830545180480604,0.18658544601520002,51.49758783,3.529920488541,88.0,48.9,0.0,100.0,52.5,60.4
157607.35666666666,3510500003002,3510500,0,44.5,15,0.18830545180480604,0.18658544601520002,51.49758783,3.529920488541,88.0,48.9,0.0,100.0,52.5,60.4
102868.01333333332,3518701005001,3518701,0,30.15,5,0.16728186212309398,0.16072041411994198,134.8093818,1.9278347203033102,100.0,86.9,100.0,100.0,91.05,90.5
95687.34999999999,3518701005001,3518701,0,30.15,5,0.16728186212309398,0.16072041411994198,134.8093818,1.9278347203033102,100.0,86.9,100.0,100.0,91.05,90.5
64910.05333333334,3537800003002,3537800,0,23.9,6,0.272224777717028,0.25780153386925303,12.32323444,3.6551711533892597,100.0,86.9,100.0,100.0,91.05,90.5
69535.04333333333,3537800003002,3537800,0,23.9,6,0.272224777717028,0.25780153386925303,12.32323444,3.6551711533892597,100.0,86.9,100.0,100.0,91.05,90.5
196038.21999999994,3548500005006,3548500,0,50.35,9,0.16728186212309398,0.16072041411994198,272.43093506,1.84346239106289,100.0,93.3,100.0,100.0,99.7,97.9
207603.7933333331,3548500005006,3548500,0,50.35,9,0.16728186212309398,0.16072041411994198,272.43093506,1.84346239106289,100.0,93.3,100.0,100.0,99.7,97.9
240770.23666666666,3548500005008,3548500,0,57.7,13,0.16728186212309398,0.16072041411994198,272.43093506,1.84346239106289,93.7,93.0,100.0,100.0,99.8,97.2
226303.22999999995,3548500005008,3548500,0,57.7,13,0.16728186212309398,0.16072041411994198,272.43093506,1.84346239106289,93.7,93.0,100.0,100.0,99.8,97.2
208593.9,3550308005058,3550308,1,30.01,6,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
178058.72,3550308005058,3550308,1,30.01,6,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
142991.8633333333,3550308005005,3550308,1,40.17,8,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,92.7,66.7,100.0,96.9,96.6
137846.69999999998,3550308005005,3550308,1,40.17,8,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,92.7,66.7,100.0,96.9,96.6
62542.13666666666,3550308005101,3550308,1,36.09,5,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
66670.48,3550308005101,3550308,1,36.09,5,0.19010222782583397,0.179139940969186,5593.905463,2.81588342075523,100.0,86.9,100.0,100.0,91.05,90.5
159874.79,3504107003002,3504107,0,54.17,7,0.17845901846104,0.174987368965328,59.49881792,2.9157281666630204,76.8,89.1,100.0,50.0,71.6,74.2
148796.8066666666,3504107003002,3504107,0,54.17,7,0.17845901846104,0.174987368965328,59.49881792,2.9157281666630204,76.8,89.1,100.0,50.0,71.6,74.2
124790.25666666667,3505708005012,3505708,0,34.69,8,0.20949501049637198,0.22247544692786303,112.94164683,2.2876751501286803,100.0,86.9,100.0,100.0,91.05,90.5
122203.34333333334,3505708005012,3505708,0,34.69,8,0.20949501049637198,0.22247544692786303,112.94164683,2.2876751501286803,100.0,86.9,100.0,100.0,91.05,90.5
139785.90333333335,3507605003003,3507605,0,38.94,6,0.17845901846104,0.174987368965328,75.67797745,3.1120654778576498,100.0,92.5,100.0,100.0,97.2,97.8
132163.9,3507605003003,3507605,0,38.94,6,0.17845901846104,0.174987368965328,75.67797745,3.1120654778576498,100.0,92.5,100.0,100.0,97.2,97.8
138995.06666666665,3522109003002,3522109,0,33.77,3,0.18502590110102898,0.180884580988462,36.95095805,2.07852674024651,93.6,79.5,100.0,100.0,41.5,75.1
122877.71,3522109003002,3522109,0,33.77,3,0.18502590110102898,0.180884580988462,36.95095805,2.07852674024651,93.6,79.5,100.0,100.0,41.5,75.1
192322.05333333332,3543303003006,3543303,0,56.64,10,0.19010222782583397,0.179139940969186,53.77340014,1.66118475696867,88.0,90.9,100.0,100.0,83.4,89.4
188693.76666666663,3543303003006,3543303,0,56.64,10,0.19010222782583397,0.179139940969186,53.77340014,1.66118475696867,88.0,90.9,100.0,100.0,83.4,89.4
65830.71666666667,3551603003001,3551603,0,34.85,4,0.20894659775241603,0.19412003379981,13.31059551,3.53094876593341,100.0,77.4,100.0,100.0,98.6,95.9
62988.75,3551603003001,3551603,0,34.85,4,0.20894659775241603,0.19412003379981,13.31059551,3.53094876593341,100.0,77.4,100.0,100.0,98.6,95.9
250733.78999999995,3304557005070,3304557,1,38.73,8,0.0983988290578631,0.0894600495753896,2972.1393031,2.9645042306717797,100.0,94.1,100.0,100.0,96.3,91.0
215148.49999999997,3304557005070,3304557,1,38.73,8,0.0983988290578631,0.0894600495753896,2972.1393031,2.9645042306717797,100.0,94.1,100.0,100.0,96.3,91.0
123789.99666666664,3304557005074,3304557,1,41.57,6,0.0983988290578631,0.0894600495753896,2972.1393031,2.9645042306717797,87.2,77.1,100.0,100.0,74.6,83.8
117040.1433333333,3304557005074,3304557,1,41.57,6,0.0983988290578631,0.0894600495753896,2972.1393031,2.9645042306717797,87.2,77.1,100.0,100.0,74.6,83.8
174236.32333333333,3304557005150,3304557,1,38.1,5,0.0983988290578631,0.0894600495753896,2972.1393031,2.9645042306717797,67.5,87.7,100.0,50.0,81.3,75.1
176474.96666666665,3304557005150,3304557,1,38.1,5,0.0983988290578631,0.0894600495753896,2972.1393031,2.9645042306717797,67.5,87.7,100.0,50.0,81.3,75.1
91309.93333333333,3306206003002,3306206,0,31.04,8,0.16683924926982402,0.158393968662814,8.17243458,2.82230751862723,89.5,96.3,66.7,100.0,96.5,94.5
96312.50333333334,3306206003002,3306206,0,31.04,8,0.16683924926982402,0.158393968662814,8.17243458,2.82230751862723,89.5,96.3,66.7,100.0,96.5,94.5
180183.58333333328,3300100003002,3300100,0,35.9,6,0.15476855018702,0.14690996538714202,70.63396294,1.5934054260766102,100.0,89.4,100.0,100.0,83.8,92.5
177884.6166666667,3300100003002,3300100,0,35.9,6,0.15476855018702,0.14690996538714202,70.63396294,1.5934054260766102,100.0,89.4,100.0,100.0,83.8,92.5
60897.676666666666,3303708003002,3303708,0,27.67,6,0.14038878711715802,0.127938947510433,10.58303591,2.36094059873454,100.0,89.2,100.0,100.0,94.7,96.4
66438.16666666667,3303708003002,3303708,0,27.67,6,0.14038878711715802,0.127938947510433,10.58303591,2.36094059873454,100.0,89.2,100.0,100.0,94.7,96.4
110245.14999999998,3205309005001,3205309,1,25.78,3,0.118748745112078,0.110059743182675,231.35517445,7.305936073059359,100.0,86.9,100.0,100.0,91.05,90.5
75663.10666666666,3205309005001,3205309,1,25.78,3,0.118748745112078,0.110059743182675,231.35517445,7.305936073059359,100.0,86.9,100.0,100.0,91.05,90.5
