"cod_mun","nome_mun","impostos_liq"
"2409803","Pedro Velho (RN)","3826"
"2409902","Pendências (RN)","26531"
"2410009","Pilões (RN)","1310"
"2410108","Poço Branco (RN)","2525"
"2410207","Portalegre (RN)","1600"
"2410256","Porto do Mangue (RN)","3377"
"2410306","Serra Caiada (RN)","2451"
"2410405","Pureza (RN)","4332"
"2410504","Rafael Fernandes (RN)","1625"
"2410603","Rafael Godeiro (RN)","779"
"2410702","Riacho da Cruz (RN)","975"
"2410801","Riacho de Santana (RN)","755"
"2410900","Riachuelo (RN)","2846"
"2411007","Rodolfo Fernandes (RN)","1089"
"2411056","Tibau (RN)","4760"
"2411106","Ruy Barbosa (RN)","517"
"2411205","Santa Cruz (RN)","47227"
"2411403","Santana do Matos (RN)","6063"
"2411429","Santana do Seridó (RN)","2355"
"2411502","Santo Antônio (RN)","9999"
"2411601","São Bento do Norte (RN)","25877"
"2411700","São Bento do Trairí (RN)","685"
"2411809","São Fernando (RN)","2259"
"2411908","São Francisco do Oeste (RN)","1397"
"2412005","São Gonçalo do Amarante (RN)","132313"
"2412104","São João do Sabugi (RN)","2397"
"2412203","São José de Mipibu (RN)","106327"
"2412302","São José do Campestre (RN)","1976"
"2412401","São José do Seridó (RN)","9751"
"2412500","São Miguel (RN)","13018"
"2412559","São Miguel do Gostoso (RN)","41305"
"2412609","São Paulo do Potengi (RN)","8287"
"2412708","São Pedro (RN)","3328"
"2412807","São Rafael (RN)","2112"
"2412906","São Tomé (RN)","3787"
"2413003","São Vicente (RN)","3182"
"2413102","Senador Elói de Souza (RN)","972"
"2413201","Senador Georgino Avelino (RN)","3515"
"2413300","Serra de São Bento (RN)","1288"
"2413359","Serra do Mel (RN)","50312"
"2413409","Serra Negra do Norte (RN)","2855"
"2413508","Serrinha (RN)","1468"
"2413557","Serrinha dos Pintos (RN)","1469"
"2413607","Severiano Melo (RN)","1676"
"2413706","Sítio Novo (RN)","969"
"2413805","Taboleiro Grande (RN)","700"
"2413904","Taipu (RN)","5304"
"2414001","Tangará (RN)","8573"
"2414100","Tenente Ananias (RN)","3511"
"2414159","Tenente Laurentino Cruz (RN)","8621"
"2414209","Tibau do Sul (RN)","16034"
"2414308","Timbaúba dos Batistas (RN)","1187"
"2414407","Touros (RN)","53157"
"2414456","Triunfo Potiguar (RN)","1628"
"2414506","Umarizal (RN)","9293"
"2414605","Upanema (RN)","7535"
"2414704","Várzea (RN)","810"
"2414753","Venha-Ver (RN)","880"
"2414803","Vera Cruz (RN)","4890"
"2414902","Viçosa (RN)","317"
"2415008","Vila Flor (RN)","1082"
"2500106","Água Branca (PB)","2840"
"2500205","Aguiar (PB)","1692"
"2500304","Alagoa Grande (PB)","14323"
"2500403","Alagoa Nova (PB)","11428"
"2500502","Alagoinha (PB)","3558"
"2500536","Alcantil (PB)","886"
"2500577","Algodão de Jandaíra (PB)","500"
"2500601","Alhandra (PB)","234028"
"2500700","São João do Rio do Peixe (PB)","14808"
"2500734","Amparo (PB)","730"
"2500775","Aparecida (PB)","4095"
"2500809","Araçagi (PB)","5479"
"2500908","Arara (PB)","4740"
"2501005","Araruna (PB)","6708"
"2501104","Areia (PB)","15552"
"2501153","Areia de Baraúnas (PB)","331"
"2501203","Areial (PB)","2087"
"2501302","Aroeiras (PB)","5264"
"2501351","Assunção (PB)","1918"
"2501401","Baía da Traição (PB)","2329"
"2501500","Bananeiras (PB)","7505"
"2501534","Baraúna (PB)","1787"
"2501575","Barra de Santana (PB)","1756"
"2501609","Barra de Santa Rosa (PB)","5497"
"2501708","Barra de São Miguel (PB)","1135"
"2501807","Bayeux (PB)","175804"
"2501906","Belém (PB)","14966"
"2502003","Belém do Brejo do Cruz (PB)","2846"
"2502052","Bernardino Batista (PB)","1029"
"2502102","Boa Ventura (PB)","1385"
"2502151","Boa Vista (PB)","13064"
"2502201","Bom Jesus (PB)","1029"
"2502300","Bom Sucesso (PB)","1598"
"2502409","Bonito de Santa Fé (PB)","3013"
"2502508","Boqueirão (PB)","14619"
"2502607","Igaracy (PB)","1607"
"2502706","Borborema (PB)","1056"
"2502805","Brejo do Cruz (PB)","7061"
"2502904","Brejo dos Santos (PB)","2272"
"2503001","Caaporã (PB)","39473"
"2503100","Cabaceiras (PB)","2409"
"2503209","Cabedelo (PB)","485771"
"2503308","Cachoeira dos Índios (PB)","11064"
"2503407","Cacimba de Areia (PB)","967"
"2503506","Cacimba de Dentro (PB)","5081"
"2503555","Cacimbas (PB)","1521"
"2503605","Caiçara (PB)","2277"
"2503704","Cajazeiras (PB)","155285"
"2503753","Cajazeirinhas (PB)","734"
"2503803","Caldas Brandão (PB)","4005"
"2503902","Camalaú (PB)","3364"
"2504009","Campina Grande (PB)","1052908"
"2504033","Capim (PB)","3400"
"2504074","Caraúbas (PB)","987"
"2504108","Carrapateira (PB)","528"
"2504157","Casserengue (PB)","1803"
"2504207","Catingueira (PB)","1251"
"2504306","Catolé do Rocha (PB)","34881"
"2504355","Caturité (PB)","3407"
"2504405","Conceição (PB)","8013"
"2504504","Condado (PB)","2628"
"2504603","Conde (PB)","99128"
"2504702","Congo (PB)","2853"
"2504801","Coremas (PB)","7905"
"2504850","Coxixola (PB)","570"
"2504900","Cruz do Espírito Santo (PB)","6825"
"2505006","Cubati (PB)","1884"
"2505105","Cuité (PB)","11632"
"2505204","Cuitegi (PB)","1870"
"2505238","Cuité de Mamanguape (PB)","1400"
"2505279","Curral de Cima (PB)","1227"
"2505303","Curral Velho (PB)","502"
"2505352","Damião (PB)","1313"
"2505402","Desterro (PB)","2740"
"2505501","Vista Serrana (PB)","1347"
"2505600","Diamante (PB)","1729"
"2505709","Dona Inês (PB)","2537"
"2505808","Duas Estradas (PB)","1826"
"2505907","Emas (PB)","695"
"2506004","Esperança (PB)","57319"
"2506103","Fagundes (PB)","3285"
"2506202","Frei Martinho (PB)","952"
"2506251","Gado Bravo (PB)","1553"
"2506301","Guarabira (PB)","109311"
"2506400","Gurinhém (PB)","6653"
"2506509","Gurjão (PB)","949"
"2506608","Ibiara (PB)","1838"
"2506707","Imaculada (PB)","1925"
"2506806","Ingá (PB)","8310"
"2506905","Itabaiana (PB)","19498"
"2507002","Itaporanga (PB)","21683"
"2507101","Itapororoca (PB)","7625"
"2507200","Itatuba (PB)","6601"
"2507309","Jacaraú (PB)","5039"
"2507408","Jericó (PB)","2370"
"2507507","João Pessoa (PB)","2582048"
"2507606","Juarez Távora (PB)","1934"
"2507705","Juazeirinho (PB)","9625"
"2507804","Junco do Seridó (PB)","3648"
"2507903","Juripiranga (PB)","4706"
"2508000","Juru (PB)","2279"
"2508109","Lagoa (PB)","1260"
"2508208","Lagoa de Dentro (PB)","2910"
"2508307","Lagoa Seca (PB)","12938"
"2508406","Lastro (PB)","725"
"2508505","Livramento (PB)","2197"
"2508554","Logradouro (PB)","1157"
"2508604","Lucena (PB)","15659"
"2508703","Mãe d'Água (PB)","826"
"2508802","Malta (PB)","2404"
"2508901","Mamanguape (PB)","58297"
"2509008","Manaíra (PB)","2232"
"2509057","Marcação (PB)","1437"
"2509107","Mari (PB)","10830"
"2509156","Marizópolis (PB)","3356"
"2509206","Massaranduba (PB)","3718"
"2509305","Mataraca (PB)","10693"
"2509339","Matinhas (PB)","864"
"2509370","Mato Grosso (PB)","704"
"2509396","Maturéia (PB)","2099"
"2509404","Mogeiro (PB)","8913"
"2509503","Montadas (PB)","1181"
"2509602","Monte Horebe (PB)","991"
"2509701","Monteiro (PB)","31157"
"2509800","Mulungu (PB)","2215"
"2509909","Natuba (PB)","1989"
"2510006","Nazarezinho (PB)","1878"
"2510105","Nova Floresta (PB)","4278"
"2510204","Nova Olinda (PB)","1887"
"2510303","Nova Palmeira (PB)","1432"
"2510402","Olho d'Água (PB)","1987"
"2510501","Olivedos (PB)","874"
"2510600","Ouro Velho (PB)","1227"
"2510659","Parari (PB)","592"
"2510709","Passagem (PB)","725"
"2510808","Patos (PB)","178807"
"2510907","Paulista (PB)","6899"
"2511004","Pedra Branca (PB)","1261"
"2511103","Pedra Lavrada (PB)","2670"
"2511202","Pedras de Fogo (PB)","27105"
"2511301","Piancó (PB)","9261"
"2511400","Picuí (PB)","10115"
"2511509","Pilar (PB)","3163"
"2511608","Pilões (PB)","2176"
"2511707","Pilõezinhos (PB)","695"
"2511806","Pirpirituba (PB)","3366"
"2511905","Pitimbu (PB)","25956"
"2512002","Pocinhos (PB)","8321"
"2512036","Poço Dantas (PB)","762"
"2512077","Poço de José de Moura (PB)","1289"
"2512101","Pombal (PB)","27315"
"2512200","Prata (PB)","1696"
"2512309","Princesa Isabel (PB)","12739"
"2512408","Puxinanã (PB)","3037"
"2512507","Queimadas (PB)","40921"
"2512606","Quixaba (PB)","852"
"2512705","Remígio (PB)","9376"
"2512721","Pedro Régis (PB)","1278"
"2512747","Riachão (PB)","745"
"2512754","Riachão do Bacamarte (PB)","1698"
"2512762","Riachão do Poço (PB)","2430"
"2512788","Riacho de Santo Antônio (PB)","510"
"2512804","Riacho dos Cavalos (PB)","3690"
"2512903","Rio Tinto (PB)","14367"
"2513000","Salgadinho (PB)","523"
"2513109","Salgado de São Félix (PB)","3233"
"2513158","Santa Cecília (PB)","1528"
"2513208","Santa Cruz (PB)","2445"
"2513307","Santa Helena (PB)","1615"
"2513356","Santa Inês (PB)","552"
"2513406","Santa Luzia (PB)","18596"
"2513505","Santana de Mangueira (PB)","958"
"2513604","Santana dos Garrotes (PB)","1644"
"2513653","Joca Claudino (PB)","786"
"2513703","Santa Rita (PB)","284389"
"2513802","Santa Teresinha (PB)","1826"
"2513851","Santo André (PB)","943"
"2513901","São Bento (PB)","50906"
"2513927","São Bentinho (PB)","2988"
"2513943","São Domingos do Cariri (PB)","763"
"2513968","São Domingos (PB)","763"
"2513984","São Francisco (PB)","1399"
"2514008","São João do Cariri (PB)","1527"
"2514107","São João do Tigre (PB)","857"
"2514206","São José da Lagoa Tapada (PB)","2531"
"2514305","São José de Caiana (PB)","1223"
"2514404","São José de Espinharas (PB)","1027"
"2514453","São José dos Ramos (PB)","1621"
"2514503","São José de Piranhas (PB)","11044"
"2514552","São José de Princesa (PB)","654"
"2514602","São José do Bonfim (PB)","1256"
"2514651","São José do Brejo do Cruz (PB)","523"
"2514701","São José do Sabugi (PB)","5628"
"2514800","São José dos Cordeiros (PB)","770"
"2514909","São Mamede (PB)","2672"
"2515005","São Miguel de Taipu (PB)","1843"
"2515104","São Sebastião de Lagoa de Roça (PB)","2781"
"2515203","São Sebastião do Umbuzeiro (PB)","1043"
"2515302","Sapé (PB)","46111"
"2515401","São Vicente do Seridó (PB)","1815"
"2515500","Serra Branca (PB)","6552"
"2515609","Serra da Raiz (PB)","890"
"2515708","Serra Grande (PB)","883"
"2515807","Serra Redonda (PB)","2004"
"2515906","Serraria (PB)","1167"
"2515930","Sertãozinho (PB)","1723"
"2515971","Sobrado (PB)","5609"
"2516003","Solânea (PB)","25068"
"2516102","Soledade (PB)","11338"
"2516151","Sossêgo (PB)","1140"
"2516201","Sousa (PB)","135884"
"2516300","Sumé (PB)","12516"
"2516409","Tacima (PB)","2055"
"2516508","Taperoá (PB)","4556"
"2516607","Tavares (PB)","3679"
"2516706","Teixeira (PB)","5887"
"2516755","Tenório (PB)","973"
"2516805","Triunfo (PB)","2648"
"2516904","Uiraúna (PB)","11139"
"2517001","Umbuzeiro (PB)","2393"
"2517100","Várzea (PB)","1114"
"2517209","Vieirópolis (PB)","1278"
"2517407","Zabelê (PB)","661"
"2600054","Abreu e Lima (PE)","330496"
"2600104","Afogados da Ingazeira (PE)","37015"
"2600203","Afrânio (PE)","10512"
"2600302","Agrestina (PE)","18421"
"2600401","Água Preta (PE)","8500"
"2600500","Águas Belas (PE)","19971"
"2600609","Alagoinha (PE)","5346"
"2600708","Aliança (PE)","11121"
"2600807","Altinho (PE)","6465"
"2600906","Amaraji (PE)","9299"
"2601003","Angelim (PE)","3047"
"2601052","Araçoiaba (PE)","6724"
"2601102","Araripina (PE)","59699"
"2601201","Arcoverde (PE)","101026"
"2601300","Barra de Guabiraba (PE)","3810"
"2601409","Barreiros (PE)","29497"
"2601508","Belém de Maria (PE)","3105"
"2601607","Belém do São Francisco (PE)","8631"
"2601706","Belo Jardim (PE)","250436"
"2601805","Betânia (PE)","3019"
"2601904","Bezerros (PE)","61467"
"2602001","Bodocó (PE)","9767"
"2602100","Bom Conselho (PE)","29290"
"2602209","Bom Jardim (PE)","16749"
"2602308","Bonito (PE)","23161"
"2602407","Brejão (PE)","7767"
"2602506","Brejinho (PE)","1540"
"2602605","Brejo da Madre de Deus (PE)","14092"
"2602704","Buenos Aires (PE)","2973"
"2602803","Buíque (PE)","19721"
"2602902","Cabo de Santo Agostinho (PE)","2846537"
"2603009","Cabrobó (PE)","39586"
"2603108","Cachoeirinha (PE)","13228"
"2603207","Caetés (PE)","9611"
"2603306","Calçado (PE)","2782"
"2603405","Calumbi (PE)","2146"
"2603454","Camaragibe (PE)","175356"
"2603504","Camocim de São Félix (PE)","9184"
"2603603","Camutanga (PE)","12331"
"2603702","Canhotinho (PE)","8367"
"2603801","Capoeiras (PE)","7448"
"2603900","Carnaíba (PE)","6912"
"2603926","Carnaubeira da Penha (PE)","2168"
"2604007","Carpina (PE)","138869"
"2604106","Caruaru (PE)","860942"
"2604155","Casinhas (PE)","1833"
"2604205","Catende (PE)","12671"
"2604304","Cedro (PE)","3492"
"2604403","Chã de Alegria (PE)","8262"
"2604502","Chã Grande (PE)","12467"
"2604601","Condado (PE)","8785"
"2604700","Correntes (PE)","3893"
"2604809","Cortês (PE)","3022"
"2604908","Cumaru (PE)","3581"
"2605004","Cupira (PE)","19591"
"2605103","Custódia (PE)","44616"
"2605152","Dormentes (PE)","31108"
"2605202","Escada (PE)","73907"
"2605301","Exu (PE)","9361"
"2605400","Feira Nova (PE)","11172"
"2605459","Fernando de Noronha (PE)","16699"
"2605509","Ferreiros (PE)","5356"
"2605608","Flores (PE)","12106"
"2605707","Floresta (PE)","57440"
"2605806","Frei Miguelinho (PE)","4644"
"2605905","Gameleira (PE)","6224"
"2606002","Garanhuns (PE)","298596"
"2606101","Glória do Goitá (PE)","41642"
"2606200","Goiana (PE)","1764920"
"2606309","Granito (PE)","1533"
"2606408","Gravatá (PE)","92829"
"2606507","Iati (PE)","4367"
"2606606","Ibimirim (PE)","9815"
"2606705","Ibirajuba (PE)","1322"
"2606804","Igarassu (PE)","341941"
"2606903","Iguaracy (PE)","3486"
"2607000","Inajá (PE)","7644"
"2607109","Ingazeira (PE)","1085"
"2607208","Ipojuca (PE)","2276964"
"2607307","Ipubi (PE)","13589"
"2607406","Itacuruba (PE)","1825"
"2607505","Itaíba (PE)","8993"
"2607604","Ilha de Itamaracá (PE)","12849"
"2607653","Itambé (PE)","50243"
"2607703","Itapetim (PE)","4552"
"2607752","Itapissuma (PE)","327135"
"2607802","Itaquitinga (PE)","3240"
"2607901","Jaboatão dos Guararapes (PE)","2123193"
"2607950","Jaqueira (PE)","2731"
"2608008","Jataúba (PE)","5345"
"2608057","Jatobá (PE)","8082"
"2608107","João Alfredo (PE)","16470"
"2608206","Joaquim Nabuco (PE)","4904"
"2608255","Jucati (PE)","1946"
"2608305","Jupi (PE)","5019"
"2608404","Jurema (PE)","3461"
"2608453","Lagoa do Carro (PE)","13058"
"2608503","Lagoa de Itaenga (PE)","18463"
"2608602","Lagoa do Ouro (PE)","2359"
"2608701","Lagoa dos Gatos (PE)","3346"
"2608750","Lagoa Grande (PE)","15472"
"2608800","Lajedo (PE)","40603"
"2608909","Limoeiro (PE)","61029"
"2609006","Macaparana (PE)","16712"
"2609105","Machados (PE)","8236"
"2609154","Manari (PE)","2744"
"2609204","Maraial (PE)","2354"
"2609303","Mirandiba (PE)","14798"
"2609402","Moreno (PE)","53833"
"2609501","Nazaré da Mata (PE)","37029"
"2609600","Olinda (PE)","516245"
"2609709","Orobó (PE)","10556"
"2609808","Orocó (PE)","8055"
"2609907","Ouricuri (PE)","39639"
"2610004","Palmares (PE)","80011"
"2610103","Palmeirina (PE)","1346"
"2610202","Panelas (PE)","5139"
"2610301","Paranatama (PE)","6438"
"2610400","Parnamirim (PE)","9677"
"2610509","Passira (PE)","10400"
"2610608","Paudalho (PE)","33933"
"2610707","Paulista (PE)","397805"
"2610806","Pedra (PE)","10938"
"2610905","Pesqueira (PE)","61814"
"2611002","Petrolândia (PE)","40911"
"2611101","Petrolina (PE)","584526"
"2611200","Poção (PE)","3662"
"2611309","Pombos (PE)","41064"
"2611408","Primavera (PE)","6957"
"2611507","Quipapá (PE)","6355"
"2611533","Quixaba (PE)","1642"
"2611606","Recife (PE)","8289934"
"2611705","Riacho das Almas (PE)","8262"
"2611804","Ribeirão (PE)","20666"
"2611903","Rio Formoso (PE)","13036"
"2612000","Sairé (PE)","5170"
"2612109","Salgadinho (PE)","1266"
"2612208","Salgueiro (PE)","84220"
"2612307","Saloá (PE)","6224"
"2612406","Sanharó (PE)","10179"
"2612455","Santa Cruz (PE)","4089"
"2612471","Santa Cruz da Baixa Verde (PE)","3429"
"2612505","Santa Cruz do Capibaribe (PE)","164397"
"2612554","Santa Filomena (PE)","3555"
"2612604","Santa Maria da Boa Vista (PE)","21239"
"2612703","Santa Maria do Cambucá (PE)","4744"
"2612802","Santa Terezinha (PE)","3935"
"2612901","São Benedito do Sul (PE)","2311"
"2613008","São Bento do Una (PE)","29038"
"2613107","São Caitano (PE)","24130"
"2613206","São João (PE)","13660"
"2613305","São Joaquim do Monte (PE)","6406"
"2613404","São José da Coroa Grande (PE)","25607"
"2613503","São José do Belmonte (PE)","14271"
"2613602","São José do Egito (PE)","24014"
"2613701","São Lourenço da Mata (PE)","100801"
"2613800","São Vicente Férrer (PE)","8846"
"2613909","Serra Talhada (PE)","171489"
"2614006","Serrita (PE)","5003"
"2614105","Sertânia (PE)","18276"
"2614204","Sirinhaém (PE)","29803"
"2614303","Moreilândia (PE)","2525"
"2614402","Solidão (PE)","1014"
"2614501","Surubim (PE)","71470"
"2614600","Tabira (PE)","18279"
"2614709","Tacaimbó (PE)","7096"
"2614808","Tacaratu (PE)","7290"
"2614857","Tamandaré (PE)","18160"
"2615003","Taquaritinga do Norte (PE)","15472"
"2615102","Terezinha (PE)","1050"
"2615201","Terra Nova (PE)","2236"
"2615300","Timbaúba (PE)","49907"
"2615409","Toritama (PE)","64655"
"2615508","Tracunhaém (PE)","3967"
"2615607","Trindade (PE)","20383"
"2615706","Triunfo (PE)","9488"
"2615805","Tupanatinga (PE)","7345"
"2615904","Tuparetama (PE)","4483"
"2616001","Venturosa (PE)","9057"
"2616100","Verdejante (PE)","2105"
"2616183","Vertente do Lério (PE)","1724"
"2616209","Vertentes (PE)","9037"
"2616308","Vicência (PE)","14309"
"2616407","Vitória de Santo Antão (PE)","608416"
"2616506","Xexéu (PE)","4790"
"2700102","Água Branca (AL)","4550"
"2700201","Anadia (AL)","2501"
"2700300","Arapiraca (AL)","433759"
"2700409","Atalaia (AL)","28971"
"2700508","Barra de Santo Antônio (AL)","2842"
"2700607","Barra de São Miguel (AL)","8461"
"2700706","Batalha (AL)","10403"
"2700805","Belém (AL)","716"
"2700904","Belo Monte (AL)","1040"
"2701001","Boca da Mata (AL)","4663"
"2701100","Branquinha (AL)","1668"
"2701209","Cacimbinhas (AL)","2428"
"2701308","Cajueiro (AL)","6771"
"2701357","Campestre (AL)","898"
"2701407","Campo Alegre (AL)","26456"
"2701506","Campo Grande (AL)","2233"
"2701605","Canapi (AL)","3438"
"2701704","Capela (AL)","4403"
"2701803","Carneiros (AL)","1438"
"2701902","Chã Preta (AL)","936"
"2702009","Coité do Nóia (AL)","1646"
"2702108","Colônia Leopoldina (AL)","10866"
"2702207","Coqueiro Seco (AL)","999"
"2702306","Coruripe (AL)","107047"
"2702355","Craíbas (AL)","4856"
"2702405","Delmiro Gouveia (AL)","26188"
"2702504","Dois Riachos (AL)","2071"
"2702553","Estrela de Alagoas (AL)","1563"
"2702603","Feira Grande (AL)","2573"
"2702702","Feliz Deserto (AL)","1759"
"2702801","Flexeiras (AL)","2847"
"2702900","Girau do Ponciano (AL)","8619"
"2703007","Ibateguara (AL)","2025"
"2703106","Igaci (AL)","4584"
"2703205","Igreja Nova (AL)","21262"
"2703304","Inhapi (AL)","4129"
"2703403","Jacaré dos Homens (AL)","725"
"2703502","Jacuípe (AL)","1003"
"2703601","Japaratinga (AL)","2597"
"2703700","Jaramataia (AL)","788"
"2703759","Jequiá da Praia (AL)","2729"
"2703809","Joaquim Gomes (AL)","2973"
"2703908","Jundiá (AL)","1063"
"2704005","Junqueiro (AL)","9805"
"2704104","Lagoa da Canoa (AL)","3250"
"2704203","Limoeiro de Anadia (AL)","15601"
"2704302","Maceió (AL)","3087684"
"2704401","Major Isidoro (AL)","5920"
"2704500","Maragogi (AL)","34325"
"2704609","Maravilha (AL)","2019"
"2704708","Marechal Deodoro (AL)","432560"
"2704807","Maribondo (AL)","7523"
"2704906","Mar Vermelho (AL)","615"
"2705002","Mata Grande (AL)","5132"
"2705101","Matriz de Camaragibe (AL)","17335"
"2705200","Messias (AL)","9679"
"2705309","Minador do Negrão (AL)","927"
"2705408","Monteirópolis (AL)","1350"
"2705507","Murici (AL)","8115"
"2705606","Novo Lino (AL)","2033"
"2705705","Olho d'Água das Flores (AL)","14996"
"2705804","Olho d'Água do Casado (AL)","2030"
"2705903","Olho d'Água Grande (AL)","584"
"2706000","Olivença (AL)","2198"
"2706109","Ouro Branco (AL)","1739"
"2706208","Palestina (AL)","483"
"2706307","Palmeira dos Índios (AL)","50077"
"2706406","Pão de Açúcar (AL)","6498"
"2706422","Pariconha (AL)","1504"
"2706448","Paripueira (AL)","3826"
"2706505","Passo de Camaragibe (AL)","2464"
"2706604","Paulo Jacinto (AL)","1342"
"2706703","Penedo (AL)","39557"
"2706802","Piaçabuçu (AL)","5355"
"2706901","Pilar (AL)","23379"
"2707008","Pindoba (AL)","414"
"2707107","Piranhas (AL)","7514"
"2707206","Poço das Trincheiras (AL)","2742"
"2707305","Porto Calvo (AL)","14993"
"2707404","Porto de Pedras (AL)","2276"
"2707503","Porto Real do Colégio (AL)","3877"
"2707602","Quebrangulo (AL)","2478"
"2707701","Rio Largo (AL)","129060"
"2707800","Roteiro (AL)","1163"
"2707909","Santa Luzia do Norte (AL)","35285"
"2708006","Santana do Ipanema (AL)","39592"
"2708105","Santana do Mundaú (AL)","2578"
"2708204","São Brás (AL)","2139"
"2708303","São José da Laje (AL)","7646"
"2708402","São José da Tapera (AL)","6923"
"2708501","São Luís do Quitunde (AL)","7112"
"2708600","São Miguel dos Campos (AL)","92546"
"2708709","São Miguel dos Milagres (AL)","2828"
"2708808","São Sebastião (AL)","12955"
"2708907","Satuba (AL)","29556"
"2708956","Senador Rui Palmeira (AL)","2019"
"2709004","Tanque d'Arca (AL)","794"
"2709103","Taquarana (AL)","4069"
"2709152","Teotônio Vilela (AL)","16976"
"2709202","Traipu (AL)","3592"
"2709301","União dos Palmares (AL)","43990"
"2709400","Viçosa (AL)","6935"
"2800100","Amparo de São Francisco (SE)","1314"
"2800209","Aquidabã (SE)","11108"
"2800308","Aracaju (SE)","1962471"
"2800407","Arauá (SE)","4683"
"2800506","Areia Branca (SE)","9462"
"2800605","Barra dos Coqueiros (SE)","35103"
"2800670","Boquim (SE)","22436"
"2800704","Brejo Grande (SE)","2843"
"2801009","Campo do Brito (SE)","12318"
"2801108","Canhoba (SE)","2048"
"2801207","Canindé de São Francisco (SE)","21921"
"2801306","Capela (SE)","20926"
"2801405","Carira (SE)","16788"
"2801504","Carmópolis (SE)","35438"
"2801603","Cedro de São João (SE)","2028"
"2801702","Cristinápolis (SE)","10506"
"2801900","Cumbe (SE)","1686"
"2802007","Divina Pastora (SE)","2631"
"2802106","Estância (SE)","260093"
"2802205","Feira Nova (SE)","3536"
"2802304","Frei Paulo (SE)","26320"
"2802403","Gararu (SE)","4272"
"2802502","General Maynard (SE)","837"
"2802601","Gracho Cardoso (SE)","3001"
"2802700","Ilha das Flores (SE)","3205"
"2802809","Indiaroba (SE)","5943"
"2802908","Itabaiana (SE)","220355"
"2803005","Itabaianinha (SE)","26024"
"2803104","Itabi (SE)","3079"
"2803203","Itaporanga d'Ajuda (SE)","156214"
"2803302","Japaratuba (SE)","11722"
"2803401","Japoatã (SE)","6141"
"2803500","Lagarto (SE)","180320"
"2803609","Laranjeiras (SE)","166706"
"2803708","Macambira (SE)","3274"
"2803807","Malhada dos Bois (SE)","2994"
"2803906","Malhador (SE)","5274"
"2804003","Maruim (SE)","31287"
"2804102","Moita Bonita (SE)","7746"
"2804201","Monte Alegre de Sergipe (SE)","8169"
"2804300","Muribeca (SE)","4714"
"2804409","Neópolis (SE)","19816"
"2804458","Nossa Senhora Aparecida (SE)","13901"
"2804508","Nossa Senhora da Glória (SE)","56653"
"2804607","Nossa Senhora das Dores (SE)","20220"
"2804706","Nossa Senhora de Lourdes (SE)","3417"
"2804805","Nossa Senhora do Socorro (SE)","359562"
"2804904","Pacatuba (SE)","8278"
"2805000","Pedra Mole (SE)","1327"
"2805109","Pedrinhas (SE)","3741"
"2805208","Pinhão (SE)","3272"
"2805307","Pirambu (SE)","4230"
"2805406","Poço Redondo (SE)","15126"
"2805505","Poço Verde (SE)","20213"
"2805604","Porto da Folha (SE)","14222"
"2805703","Propriá (SE)","55118"
"2805802","Riachão do Dantas (SE)","9169"
"2805901","Riachuelo (SE)","21093"
"2806008","Ribeirópolis (SE)","38722"
"2806107","Rosário do Catete (SE)","65175"
"2806206","Salgado (SE)","8197"
"2806305","Santa Luzia do Itanhy (SE)","6900"
"2806404","Santana do São Francisco (SE)","2774"
"2806503","Santa Rosa de Lima (SE)","1125"
"2806602","Santo Amaro das Brotas (SE)","4589"
"2806701","São Cristóvão (SE)","74359"
"2806800","São Domingos (SE)","5293"
"2806909","São Francisco (SE)","1092"
"2807006","São Miguel do Aleixo (SE)","1724"
"2807105","Simão Dias (SE)","60284"
"2807204","Siriri (SE)","5973"
"2807303","Telha (SE)","1151"
"2807402","Tobias Barreto (SE)","43679"
"2807501","Tomar do Geru (SE)","4455"
"2807600","Umbaúba (SE)","27542"
"2900108","Abaíra (BA)","2283"
"2900207","Abaré (BA)","6746"
"2900306","Acajutiba (BA)","4208"
"2900355","Adustina (BA)","3549"
"2900405","Água Fria (BA)","5601"
"2900504","Érico Cardoso (BA)","1744"
"2900603","Aiquara (BA)","1301"
"2900702","Alagoinhas (BA)","692869"
"2900801","Alcobaça (BA)","12047"
"2900900","Almadina (BA)","1151"
"2901007","Amargosa (BA)","25747"
"2901106","Amélia Rodrigues (BA)","27906"
"2901155","América Dourada (BA)","6252"
"2901205","Anagé (BA)","9089"
"2901304","Andaraí (BA)","4261"
"2901353","Andorinha (BA)","5177"
"2901403","Angical (BA)","3946"
"2901502","Anguera (BA)","3758"
"2901601","Antas (BA)","5085"
"2901700","Antônio Cardoso (BA)","9929"
"2901809","Antônio Gonçalves (BA)","2461"
"2901908","Aporá (BA)","4002"
"2901957","Apuarema (BA)","2667"
"2902005","Aracatu (BA)","4688"
"2902054","Araçás (BA)","5913"
"2902104","Araci (BA)","14469"
"2902203","Aramari (BA)","5223"
"2902252","Arataca (BA)","2031"
"2902302","Aratuípe (BA)","2230"
"2902401","Aurelino Leal (BA)","3142"
"2902500","Baianópolis (BA)","4247"
"2902609","Baixa Grande (BA)","7370"
"2902658","Banzaê (BA)","3436"
"2902708","Barra (BA)","15290"
"2902807","Barra da Estiva (BA)","12636"
"2902906","Barra do Choça (BA)","14154"
"2903003","Barra do Mendes (BA)","3294"
"2903102","Barra do Rocha (BA)","1275"
"2903201","Barreiras (BA)","353086"
"2903235","Barro Alto (BA)","3829"
"2903276","Barrocas (BA)","5823"
